sex_age_cat,case_fatality_copd,case_fatality_dmt2,case_fatality_ishd,incidence_copd,incidence_dmt2,incidence_ishd,remission_copd,remission_dmt2,remission_ishd
male_70,0.012401294978351981,0.005517577726541243,0.05601865827592169,0.01243096608502638,0.004173725136092608,0.00956153012511686,0,0,0
male_71,0.0130082576348368,0.005858429439748647,0.05794568121778897,0.013367105405110094,0.003720273900383854,0.010113556646883024,0,0,0
male_72,0.013692357921478984,0.006206549650321848,0.06033719412720252,0.01437968369904864,0.0032761570952519695,0.010710390656100705,0,0,0
male_73,0.01444393761542295,0.006556906169025353,0.06315938702655105,0.015435651249358587,0.002856613506397819,0.011331400835294242,0,0,0
male_74,0.015292168667115975,0.006904544395471798,0.0664747477240788,0.016520045461731768,0.00247410860435119,0.011964607922695474,0,0,0
male_75,0.016226916896750473,0.007233081315280781,0.07037864592431567,0.0176237258624452,0.00212742628670547,0.012628772409642393,0,0,0
male_76,0.017274291119504452,0.007544900805419453,0.07481040419410058,0.018740903459657305,0.001819849187634071,0.013334401976166817,0,0,0
male_77,0.01847018892179013,0.007835644475841032,0.07990629138043323,0.019861401842800996,0.001549051205049893,0.014108989192133138,0,0,0
male_78,0.019796474231375046,0.008092983736791765,0.08564083238954513,0.020953208375044774,0.0013207776008072442,0.014901905014927093,0,0,0
male_79,0.021297563157773175,0.008327664233747438,0.09203507989187346,0.02204837886853697,0.001126744991230474,0.0157633159234307,0,0,0
male_80,0.022928748351887244,0.008569225124529165,0.09939922809243901,0.02305435468471191,9.633594243020506e-4,0.016649337460245738,0,0,0
male_81,0.024741158654447037,0.008809581603721209,0.10770325720787152,0.024071885087552362,8.322326411080833e-4,0.017595028360563612,0,0,0
male_82,0.026754998598748896,0.009071630088381135,0.116955868550437,0.025024295625591317,7.250863224577933e-4,0.018635040140110165,0,0,0
male_83,0.028955464528742758,0.009363320188979663,0.12750929438048167,0.025899541842279834,6.377471546922343e-4,0.019702683453046127,0,0,0
male_84,0.031350506529688654,0.009709004247151187,0.139518801720417,0.026714748713496606,5.70015660042338e-4,0.020833840868101614,0,0,0
male_85,0.03393086051791691,0.010137153282306452,0.153215917244639,0.027463254701217292,5.16440700596625e-4,0.02205178629070771,0,0,0
male_86,0.03663781538472147,0.010661891459654085,0.16910097480803754,0.0281424661069166,4.7654070602678664e-4,0.02334369183408877,0,0,0
male_87,0.039500543074999686,0.011338252192131713,0.18722764852582913,0.028777961434223037,4.466337218543532e-4,0.024756716123426347,0,0,0
male_88,0.04248831642677065,0.012164495539453965,0.20799851315685797,0.029362346079579667,4.2632791444385576e-4,0.026260252192688828,0,0,0
male_89,0.04558507114275603,0.013237878649178893,0.23275677477428092,0.029816881413108696,4.1301249521258625e-4,0.02784361719605334,0,0,0
male_90,0.04877391818291581,0.014571373633117689,0.26179150356890524,0.030183558428977526,4.074130884796021e-4,0.029562672730244106,0,0,0
male_91,0.05194472324649782,0.016239406405257083,0.29446893387949513,0.03053211160477864,4.090755941000876e-4,0.031389488849593715,0,0,0
male_92,0.05509985403791338,0.018266287938605182,0.3336016348648611,0.030900260579519792,4.150536896028944e-4,0.033327883996506755,0,0,0
male_93,0.05840701554984905,0.02073833162325134,0.37888346154793584,0.031223286672193463,4.2617131875653065e-4,0.035396063755060894,0,0,0
male_94,0.06167597744369917,0.02376273636410972,0.4300693314406919,0.031503255918559986,4.4213435022901534e-4,0.03762635373057492,0,0,0
male_95,0.06495069889957603,0.027434033235265012,0.49020570750255144,0.03173311732214675,4.649373114927724e-4,0.03997198151188154,0,0,0
male_96,0.06829626770293533,0.031851380806822274,0.5613199383376737,0.03196981987019654,4.900466159473657e-4,0.04254811727181763,0,0,0
male_97,0.0716406926713716,0.037151939167144044,0.6425477642059213,0.032155462079647895,5.173688889865407e-4,0.04525079673047215,0,0,0
male_98,0.07522542910994828,0.04340921097435367,0.7364762574433354,0.032293822012769174,5.466648162366853e-4,0.048288815279990766,0,0,0
male_99,0.07878243043152847,0.0507651988871248,0.8436809773195263,0.03245930589985001,5.821896313519117e-4,0.05128962710147262,0,0,0
